storeid,type,price
14,巴沙鱼,30.8
14,菠菜,15.543
14,白菜,11.025
14,萝卜,23.85
14,土豆,4.4
14,芦笋,49.41
14,鸡柳,30.834
14,羊肉片,160.2
15,鸡翅,53.91
15,猪肋排,52.5
15,鳕鱼,350
15,带鱼,30.448
15,巴沙鱼,30.8
15,皮皮虾,76.797
15,牛里脊,139.5
15,菠菜,15.543
15,香菜,52.67
15,萝卜,26.235
15,土豆,3.96
15,芦笋,54.9
15,西红柿,19.2
15,松花蛋,35.83
15,汤圆,32.9
15,鸭舌,142.8
15,鸡胸肉,29.8
16,草莓,64
16,车厘子,80
16,鸡翅,65.89
16,猪肋排,47.25
16,带鱼,24.912
16,巴沙鱼,30.8
16,牛里脊,155
16,冷鲜肉,56
16,菠菜,17.27
16,白菜,12.25
16,香菜,47.403
16,萝卜,21.465
16,西红柿,21.12
16,苦瓜,17.072
16,鸡柳,37.686
17,草莓,57.6
17,鸡翅,59.9
17,鸭掌,35.6
17,冷鲜肉,50.4
17,西兰花,32.67
17,萝卜,23.85
17,土豆,4.4
17,西红柿,19.2
17,苦瓜,13.968
17,松花蛋,35.83
17,鸡胸肉,32.78
17,羊肉片,178
18,猪肋排,52.5
18,鳕鱼,350
18,带鱼,27.68
18,牛里脊,155
18,鸭掌,39.16
18,西兰花,32.67
18,菠菜,17.27
18,香菜,57.937
18,土豆,4.84
18,鸡柳,34.26
18,鸭舌,128.52
18,鸡胸肉,29.8
18,羊肉片,195.8
19,水蜜桃,44
19,车厘子,88
19,鸡翅,65.89
19,皮皮虾,85.33
19,牛里脊,170.5
19,鸡爪,129.9
19,白菜,12.25
19,香菜,52.67
19,萝卜,23.85
19,土豆,4.4
19,芦笋,54.9
19,松花蛋,35.83
19,鸭舌,142.8
20,水蜜桃,44
20,车厘子,72
20,猪肋排,52.5
20,牛排,87.263
20,鳕鱼,350
20,牛里脊,155
20,西兰花,29.403
20,菠菜,17.27
20,土豆,4.4
20,西红柿,19.2
20,苦瓜,13.968
20,鸡胸肉,29.8
21,草莓,64
21,车厘子,80
21,猪肋排,57.75
21,牛排,71.397
21,巴沙鱼,27.72
21,皮皮虾,85.33
21,鸡爪,129.9
21,鸭掌,35.6
21,西兰花,32.67
21,菠菜,15.543
21,芦笋,49.41
21,西红柿,17.28
21,苦瓜,15.52
22,牛排,79.33
22,西兰花,32.67
22,白菜,13.475
22,香菜,52.67
22,萝卜,26.235
22,土豆,4.4
22,芦笋,54.9
22,西红柿,17.28
22,鸡柳,34.26
22,汤圆,36.19
22,鸡胸肉,29.8
23,草莓,70.4
23,牛排,79.33
23,鳕鱼,350
23,鸭掌,35.6
23,冷鲜肉,56
23,萝卜,21.465
23,土豆,4.84
23,苦瓜,15.52
23,鸡柳,30.834
23,汤圆,32.9
23,鸡胸肉,29.8
24,草莓,64
24,水蜜桃,44
24,车厘子,80
24,猪肋排,47.25
24,鳕鱼,315
24,带鱼,24.912
24,巴沙鱼,33.88
24,鸡爪,129.9
24,西兰花,32.67
24,土豆,4.4
24,芦笋,49.41
24,西红柿,19.2
24,苦瓜,17.072
24,松花蛋,35.83
24,汤圆,32.9
24,鸭舌,142.8
24,鸡胸肉,26.82
24,羊肉片,178
25,水蜜桃,39.6
25,鸡翅,53.91
25,鳕鱼,350
25,带鱼,30.448
25,皮皮虾,85.33
25,牛里脊,155
25,鸭掌,35.6
25,西兰花,32.67
25,香菜,47.403
25,芦笋,54.9
25,苦瓜,15.52
25,松花蛋,32.247
25,汤圆,29.61
25,鸡胸肉,26.82
25,羊肉片,178
26,水蜜桃,48.4
26,车厘子,88
26,鸡翅,65.89
26,鳕鱼,350
26,带鱼,24.912
26,巴沙鱼,30.8
26,鸭掌,35.6
26,冷鲜肉,56
26,萝卜,23.85
26,西红柿,17.28
26,松花蛋,35.83
26,鸡柳,34.26
26,汤圆,32.9
26,鸭舌,128.52
27,车厘子,80
27,牛排,87.263
27,鳕鱼,315
27,带鱼,24.912
27,巴沙鱼,27.72
27,皮皮虾,93.863
27,牛里脊,155
27,冷鲜肉,56
27,菠菜,17.27
27,白菜,11.025
27,香菜,52.67
27,萝卜,26.235
27,土豆,4.4
27,芦笋,54.9
27,苦瓜,15.52
27,鸡柳,34.26
28,草莓,64
28,水蜜桃,44
28,鸡翅,59.9
28,鳕鱼,385
28,带鱼,27.68
28,皮皮虾,85.33
28,鸭掌,35.6
28,冷鲜肉,50.4
28,菠菜,17.27
28,土豆,3.96
28,西红柿,19.2
28,苦瓜,17.072
28,松花蛋,32.247
28,鸡柳,30.834
28,汤圆,32.9
28,鸭舌,142.8
28,鸡胸肉,29.8
28,羊肉片,195.8
29,草莓,57.6
29,鸡翅,59.9
29,猪肋排,57.75
29,鳕鱼,350
29,带鱼,30.448
29,冷鲜肉,56
29,香菜,47.403
29,芦笋,49.41
29,西红柿,19.2
29,苦瓜,15.52
29,松花蛋,32.247
29,鸡柳,37.686
29,汤圆,36.19
29,鸡胸肉,29.8
29,羊肉片,178
30,车厘子,80
30,猪肋排,47.25
30,牛排,79.33
30,皮皮虾,76.797
30,牛里脊,170.5
30,冷鲜肉,56
30,香菜,52.67
30,土豆,4.4
30,芦笋,54.9
30,西红柿,21.12
30,汤圆,32.9
30,鸭舌,128.52
30,鸡胸肉,29.8
31,鸡翅,59.9
31,巴沙鱼,27.72
31,鸡爪,116.91
31,鸭掌,39.16
31,西兰花,32.67
31,菠菜,18.997
31,白菜,12.25
31,香菜,47.403
31,萝卜,23.85
31,西红柿,19.2
31,苦瓜,15.52
31,松花蛋,35.83
31,鸡柳,34.26
31,鸭舌,142.8
31,羊肉片,178
32,水蜜桃,44
32,车厘子,80
32,牛排,79.33
32,牛里脊,155
32,鸭掌,39.16
32,菠菜,17.27
32,香菜,52.67
32,萝卜,21.465
32,土豆,4.4
32,芦笋,54.9
32,苦瓜,15.52
32,鸡柳,30.834
32,汤圆,32.9
32,鸡胸肉,32.78
32,羊肉片,160.2
33,草莓,70.4
33,车厘子,72
33,牛排,79.33
33,鳕鱼,350
33,带鱼,27.68
33,巴沙鱼,30.8
33,皮皮虾,85.33
33,鸭掌,35.6
33,冷鲜肉,50.4
33,西兰花,29.403
33,萝卜,26.235
33,土豆,4.84
33,苦瓜,15.52
33,松花蛋,39.413
33,汤圆,32.9
33,鸡胸肉,29.8
34,水蜜桃,44
34,猪肋排,52.5
34,带鱼,27.68
34,巴沙鱼,30.8
34,皮皮虾,85.33
34,牛里脊,139.5
34,西兰花,32.67
34,香菜,57.937
34,萝卜,23.85
34,土豆,4.84
34,芦笋,54.9
34,西红柿,19.2
34,松花蛋,39.413
34,汤圆,36.19
34,羊肉片,178
35,水蜜桃,39.6
35,车厘子,80
35,巴沙鱼,30.8
35,鸡爪,129.9
35,西兰花,32.67
35,菠菜,17.27
35,土豆,4.4
35,西红柿,19.2
35,苦瓜,13.968
35,鸡柳,37.686
35,汤圆,32.9
36,车厘子,88
36,猪肋排,52.5
36,牛排,71.397
36,鳕鱼,350
36,带鱼,24.912
36,巴沙鱼,27.72
36,鸡爪,129.9
36,白菜,11.025
36,香菜,52.67
36,萝卜,23.85
36,土豆,4.4
36,芦笋,54.9
36,西红柿,19.2
36,苦瓜,15.52
36,松花蛋,35.83
36,鸭舌,142.8
36,鸡胸肉,29.8
37,草莓,64
37,车厘子,80
37,猪肋排,47.25
37,鳕鱼,385
37,带鱼,24.912
37,巴沙鱼,30.8
37,牛里脊,155
37,西兰花,32.67
37,香菜,52.67
37,萝卜,21.465
37,芦笋,49.41
37,松花蛋,35.83
37,鸡柳,34.26
37,汤圆,32.9
37,鸡胸肉,26.82
37,羊肉片,178
38,草莓,57.6
38,车厘子,72
38,鸡翅,53.91
38,鳕鱼,350
38,带鱼,30.448
38,鸡爪,129.9
38,冷鲜肉,56
38,西兰花,32.67
38,菠菜,15.543
38,香菜,47.403
38,土豆,4.4
38,芦笋,54.9
38,西红柿,17.28
38,鸡胸肉,26.82
39,车厘子,80
39,鸡翅,59.9
39,鳕鱼,350
39,巴沙鱼,30.8
39,牛里脊,155
39,冷鲜肉,56
39,西兰花,32.67
39,菠菜,18.997
39,土豆,3.96
39,西红柿,19.2
39,苦瓜,15.52
39,松花蛋,39.413
39,鸡柳,30.834
39,汤圆,36.19
40,水蜜桃,44
40,车厘子,80
40,猪肋排,52.5
40,牛排,79.33
40,皮皮虾,93.863
40,鸭掌,35.6
40,冷鲜肉,56
40,西兰花,32.67
40,白菜,12.25
40,香菜,57.937
40,萝卜,23.85
40,芦笋,54.9
40,苦瓜,15.52
40,松花蛋,35.83
40,汤圆,32.9
40,鸭舌,142.8
40,鸡胸肉,29.8
41,草莓,64
41,猪肋排,57.75
41,牛排,87.263
41,鳕鱼,350
41,带鱼,27.68
41,西兰花,32.67
41,白菜,11.025
41,萝卜,26.235
41,芦笋,49.41
41,苦瓜,13.968
41,鸡胸肉,29.8
41,羊肉片,178
42,水蜜桃,44
42,车厘子,80
42,鸡翅,59.9
42,鳕鱼,385
42,带鱼,27.68
42,巴沙鱼,27.72
42,牛里脊,155
42,鸡爪,116.91
42,冷鲜肉,56
42,白菜,12.25
42,芦笋,49.41
42,苦瓜,13.968
42,松花蛋,35.83
42,鸭舌,142.8
42,羊肉片,195.8
43,水蜜桃,44
43,车厘子,88
43,猪肋排,47.25
43,鳕鱼,350
43,冷鲜肉,50.4
43,菠菜,17.27
43,白菜,11.025
43,芦笋,49.41
43,西红柿,19.2
43,苦瓜,13.968
43,汤圆,29.61
43,鸡胸肉,29.8
43,羊肉片,160.2
44,车厘子,80
44,带鱼,24.912
44,牛里脊,155
44,鸭掌,39.16
44,冷鲜肉,56
44,菠菜,15.543
44,香菜,52.67
44,萝卜,23.85
44,芦笋,54.9
44,西红柿,21.12
44,苦瓜,17.072
44,松花蛋,35.83
44,鸡柳,34.26
44,鸡胸肉,29.8
44,羊肉片,178
45,水蜜桃,44
45,猪肋排,52.5
45,鸡爪,129.9
45,鸭掌,35.6
45,西兰花,29.403
45,菠菜,17.27
45,土豆,4.4
45,芦笋,49.41
45,松花蛋,35.83
45,鸡胸肉,29.8
46,水蜜桃,39.6
46,车厘子,80
46,鸡翅,53.91
46,猪肋排,52.5
46,鳕鱼,385
46,巴沙鱼,33.88
46,鸭掌,39.16
46,土豆,4.84
46,芦笋,54.9
46,西红柿,19.2
46,苦瓜,15.52
46,鸭舌,142.8
47,水蜜桃,48.4
47,鸡翅,59.9
47,鳕鱼,315
47,皮皮虾,85.33
47,鸡爪,116.91
47,鸭掌,35.6
47,冷鲜肉,50.4
47,香菜,47.403
47,萝卜,23.85
47,土豆,4.4
47,芦笋,54.9
47,苦瓜,15.52
47,松花蛋,32.247
47,鸡柳,30.834
47,鸭舌,128.52
48,草莓,70.4
48,水蜜桃,44
48,车厘子,80
48,猪肋排,52.5
48,鳕鱼,350
48,带鱼,27.68
48,皮皮虾,76.797
48,鸡爪,129.9
48,冷鲜肉,56
48,菠菜,17.27
48,白菜,12.25
48,香菜,52.67
48,芦笋,54.9
48,苦瓜,15.52
48,松花蛋,32.247
48,鸡柳,37.686
48,汤圆,29.61
48,鸭舌,128.52
49,水蜜桃,39.6
49,车厘子,72
49,牛排,87.263
49,鳕鱼,350
49,带鱼,24.912
49,鸡爪,116.91
49,菠菜,15.543
49,香菜,57.937
49,松花蛋,32.247
49,鸡柳,30.834
49,汤圆,29.61
49,鸭舌,128.52
50,草莓,64
50,水蜜桃,44
50,车厘子,80
50,猪肋排,52.5
50,带鱼,27.68
50,皮皮虾,93.863
50,鸡爪,129.9
50,冷鲜肉,56
50,西兰花,32.67
50,菠菜,17.27
50,白菜,12.25
50,香菜,47.403
50,芦笋,60.39
50,松花蛋,35.83
50,汤圆,36.19
50,鸭舌,142.8
50,鸡胸肉,29.8
51,牛排,71.397
51,鳕鱼,350
51,带鱼,24.912
51,冷鲜肉,56
51,西兰花,29.403
51,香菜,52.67
51,萝卜,21.465
51,土豆,4.4
51,苦瓜,15.52
51,松花蛋,35.83
51,鸭舌,142.8
51,鸡胸肉,29.8
51,羊肉片,160.2
52,草莓,64
52,水蜜桃,44
52,车厘子,80
52,猪肋排,47.25
52,鳕鱼,385
52,巴沙鱼,33.88
52,皮皮虾,85.33
52,牛里脊,170.5
52,鸡爪,129.9
52,鸭掌,35.6
52,香菜,52.67
52,土豆,4.84
52,芦笋,54.9
52,苦瓜,15.52
52,汤圆,32.9
52,羊肉片,178
53,草莓,57.6
53,水蜜桃,44
53,车厘子,72
53,鳕鱼,350
53,皮皮虾,85.33
53,牛里脊,170.5
53,鸡爪,142.89
53,鸭掌,39.16
53,冷鲜肉,61.6
53,西兰花,29.403
53,菠菜,15.543
53,白菜,11.025
53,香菜,47.403
53,萝卜,26.235
53,芦笋,54.9
53,汤圆,32.9
53,鸭舌,142.8
54,水蜜桃,44
54,车厘子,80
54,巴沙鱼,30.8
54,皮皮虾,76.797
54,鸡爪,142.89
54,鸭掌,35.6
54,冷鲜肉,50.4
54,西兰花,32.67
54,香菜,52.67
54,萝卜,23.85
54,土豆,3.96
54,苦瓜,15.52
54,松花蛋,39.413
54,鸭舌,142.8
54,鸡胸肉,29.8
55,草莓,64
55,水蜜桃,44
55,猪肋排,52.5
55,牛排,79.33
55,带鱼,27.68
55,皮皮虾,85.33
55,牛里脊,155
55,鸡爪,129.9
55,鸭掌,39.16
55,西兰花,29.403
55,白菜,12.25
55,香菜,47.403
55,萝卜,26.235
55,芦笋,54.9
55,苦瓜,15.52
55,松花蛋,35.83
55,鸡柳,34.26
55,汤圆,36.19
55,羊肉片,195.8
56,草莓,64
56,车厘子,80
56,鸡翅,53.91
56,猪肋排,57.75
56,牛排,79.33
56,鳕鱼,385
56,皮皮虾,76.797
56,牛里脊,170.5
56,鸡爪,129.9
56,西兰花,29.403
56,白菜,11.025
56,土豆,4.4
56,西红柿,19.2
56,松花蛋,35.83
56,鸡柳,34.26
56,羊肉片,195.8
57,水蜜桃,44
57,车厘子,88
57,猪肋排,47.25
57,牛排,79.33
57,鳕鱼,350
57,带鱼,27.68
57,巴沙鱼,30.8
57,皮皮虾,85.33
57,牛里脊,155
57,鸡爪,129.9
57,西兰花,32.67
57,香菜,52.67
57,土豆,4.4
57,西红柿,17.28
57,鸡柳,30.834
57,汤圆,36.19
57,鸡胸肉,26.82
57,羊肉片,178
58,猪肋排,52.5
58,鳕鱼,315
58,带鱼,24.912
58,巴沙鱼,30.8
58,鸡爪,129.9
58,冷鲜肉,56
58,菠菜,17.27
58,萝卜,23.85
58,土豆,4.4
58,鸡柳,37.686
58,汤圆,32.9
58,鸡胸肉,26.82
59,草莓,64
59,水蜜桃,39.6
59,车厘子,80
59,牛排,87.263
59,带鱼,24.912
59,牛里脊,155
59,鸭掌,35.6
59,西兰花,32.67
59,香菜,52.67
59,芦笋,49.41
59,西红柿,19.2
59,鸡柳,34.26
60,草莓,64
60,水蜜桃,44
60,车厘子,80
60,带鱼,27.68
60,巴沙鱼,30.8
60,牛里脊,155
60,鸡爪,129.9
60,鸭掌,35.6
60,西兰花,35.937
60,白菜,12.25
60,香菜,47.403
60,土豆,4.4
60,苦瓜,15.52
60,鸡柳,30.834
61,草莓,70.4
61,车厘子,80
61,鸡翅,59.9
61,牛排,79.33
61,鳕鱼,350
61,鸡爪,142.89
61,香菜,52.67
61,萝卜,26.235
61,土豆,4.84
61,芦笋,54.9
61,苦瓜,13.968
61,松花蛋,32.247
62,草莓,57.6
62,鸡翅,53.91
62,猪肋排,52.5
62,牛里脊,155
62,鸡爪,129.9
62,冷鲜肉,56
62,白菜,12.25
62,香菜,52.67
62,萝卜,23.85
62,土豆,4.4
62,西红柿,19.2
62,苦瓜,13.968
62,松花蛋,32.247
62,汤圆,32.9
62,鸭舌,128.52
63,草莓,64
63,鸡翅,59.9
63,牛排,79.33
63,巴沙鱼,27.72
63,皮皮虾,93.863
63,牛里脊,139.5
63,鸡爪,142.89
63,冷鲜肉,50.4
63,西兰花,32.67
63,白菜,12.25
63,香菜,52.67
63,萝卜,21.465
63,芦笋,54.9
63,苦瓜,15.52
63,松花蛋,35.83
63,羊肉片,160.2
64,水蜜桃,48.4
64,车厘子,80
64,鸡翅,53.91
64,带鱼,27.68
64,巴沙鱼,30.8
64,皮皮虾,76.797
64,牛里脊,155
64,鸡爪,129.9
64,西兰花,35.937
64,香菜,47.403
64,萝卜,23.85
64,鸡柳,34.26
64,汤圆,36.19
64,鸡胸肉,29.8
65,车厘子,72
65,鸡翅,59.9
65,牛排,71.397
65,鳕鱼,350
65,带鱼,27.68
65,皮皮虾,85.33
65,鸡爪,129.9
65,鸭掌,35.6
65,菠菜,17.27
65,香菜,52.67
65,芦笋,60.39
65,汤圆,32.9
65,鸭舌,142.8
65,鸡胸肉,29.8
65,羊肉片,178
66,车厘子,80
66,猪肋排,52.5
66,牛排,79.33
66,鳕鱼,350
66,鸭掌,39.16
66,冷鲜肉,61.6
66,白菜,12.25
66,香菜,57.937
66,鸡柳,37.686
66,汤圆,36.19
67,草莓,64
67,鸡翅,59.9
67,牛排,87.263
67,带鱼,27.68
67,巴沙鱼,33.88
67,皮皮虾,93.863
67,冷鲜肉,56
67,菠菜,15.543
67,白菜,13.475
67,萝卜,23.85
67,苦瓜,15.52
67,鸭舌,142.8
67,羊肉片,178
68,草莓,64
68,水蜜桃,44
68,猪肋排,52.5
68,带鱼,24.912
68,巴沙鱼,30.8
68,皮皮虾,93.863
68,鸭掌,39.16
68,冷鲜肉,50.4
68,西兰花,32.67
68,白菜,12.25
68,萝卜,23.85
68,土豆,3.96
68,芦笋,49.41
68,西红柿,19.2
68,松花蛋,35.83
68,汤圆,29.61
68,鸭舌,142.8
69,猪肋排,47.25
69,牛排,79.33
69,鳕鱼,315
69,带鱼,27.68
69,皮皮虾,85.33
69,牛里脊,170.5
69,鸡爪,129.9
69,鸭掌,35.6
69,冷鲜肉,56
69,西兰花,35.937
69,菠菜,17.27
69,白菜,13.475
69,香菜,52.67
69,萝卜,23.85
69,土豆,4.4
69,芦笋,54.9
69,苦瓜,15.52
69,松花蛋,39.413
69,鸡柳,30.834
69,汤圆,32.9
69,鸭舌,142.8
69,鸡胸肉,29.8
69,羊肉片,160.2
70,水蜜桃,44
70,车厘子,80
70,鸡翅,59.9
70,鸭掌,35.6
70,芦笋,54.9
70,西红柿,19.2
70,苦瓜,15.52
70,松花蛋,35.83
70,鸡柳,34.26
70,鸡胸肉,29.8
71,牛排,87.263
71,鳕鱼,385
71,巴沙鱼,30.8
71,皮皮虾,93.863
71,鸡爪,142.89
71,白菜,12.25
71,土豆,4.4
72,草莓,64
72,鸡翅,65.89
72,巴沙鱼,27.72
72,皮皮虾,76.797
72,牛里脊,139.5
72,鸡爪,129.9
72,鸭掌,35.6
72,西兰花,32.67
72,菠菜,17.27
72,白菜,12.25
72,萝卜,21.465
72,土豆,4.84
72,芦笋,54.9
72,西红柿,19.2
72,苦瓜,15.52
72,松花蛋,35.83
72,鸡柳,34.26
72,鸡胸肉,29.8
72,羊肉片,178
73,草莓,57.6
73,牛排,71.397
73,带鱼,27.68
73,巴沙鱼,30.8
73,皮皮虾,85.33
73,牛里脊,155
73,鸭掌,35.6
73,冷鲜肉,56
73,西兰花,35.937
73,菠菜,15.543
73,香菜,52.67
73,萝卜,26.235
73,土豆,4.84
73,芦笋,60.39
73,鸡柳,34.26
73,汤圆,29.61
74,水蜜桃,44
74,猪肋排,57.75
74,带鱼,24.912
74,巴沙鱼,27.72
74,鸡爪,129.9
74,鸭掌,35.6
74,冷鲜肉,50.4
74,西兰花,35.937
74,菠菜,15.543
74,白菜,12.25
74,萝卜,21.465
74,土豆,4.4
74,西红柿,19.2
74,苦瓜,13.968
74,鸭舌,142.8
74,羊肉片,195.8
75,草莓,70.4
75,水蜜桃,39.6
75,车厘子,88
75,鳕鱼,350
75,带鱼,30.448
75,巴沙鱼,30.8
75,皮皮虾,85.33
75,牛里脊,155
75,鸡爪,129.9
75,鸭掌,35.6
75,西兰花,32.67
75,白菜,12.25
75,萝卜,23.85
75,芦笋,49.41
75,苦瓜,13.968
75,松花蛋,35.83
75,汤圆,32.9
75,鸭舌,142.8
75,鸡胸肉,29.8
75,羊肉片,160.2
76,水蜜桃,44
76,车厘子,80
76,猪肋排,52.5
76,带鱼,24.912
76,巴沙鱼,30.8
76,鸡爪,142.89
76,冷鲜肉,61.6
76,白菜,12.25
76,西红柿,17.28
76,苦瓜,15.52
76,鸡柳,30.834
76,鸭舌,142.8
76,羊肉片,178
77,猪肋排,47.25
77,牛排,79.33
77,带鱼,27.68
77,鸡爪,142.89
77,西兰花,35.937
77,芦笋,54.9
77,西红柿,19.2
77,鸡柳,34.26
78,鳕鱼,315
78,带鱼,27.68
78,巴沙鱼,33.88
78,牛里脊,155
78,鸡爪,129.9
78,萝卜,23.85
78,苦瓜,17.072
78,松花蛋,32.247
78,汤圆,32.9
78,鸭舌,157.08
78,鸡胸肉,29.8
79,车厘子,80
79,猪肋排,52.5
79,牛排,79.33
79,牛里脊,139.5
79,鸭掌,35.6
79,冷鲜肉,56
79,西兰花,32.67
79,萝卜,23.85
79,鸡柳,34.26
79,汤圆,32.9
79,鸭舌,157.08
79,鸡胸肉,26.82
80,草莓,64
80,水蜜桃,44
80,带鱼,27.68
80,巴沙鱼,30.8
80,牛里脊,155
80,鸡爪,129.9
80,鸭掌,39.16
80,冷鲜肉,56
80,西兰花,32.67
80,白菜,12.25
80,香菜,47.403
80,土豆,3.96
80,芦笋,54.9
80,松花蛋,35.83
80,鸡柳,37.686
80,鸭舌,142.8
80,鸡胸肉,26.82
81,水蜜桃,48.4
81,猪肋排,52.5
81,带鱼,24.912
81,巴沙鱼,27.72
81,牛里脊,155
81,鸭掌,32.04
81,白菜,12.25
81,香菜,57.937
81,萝卜,23.85
81,西红柿,19.2
81,苦瓜,15.52
81,鸡胸肉,26.82
81,羊肉片,178
82,水蜜桃,44
82,车厘子,80
82,猪肋排,52.5
82,带鱼,30.448
82,巴沙鱼,27.72
82,牛里脊,155
82,鸡爪,129.9
82,鸭掌,39.16
82,菠菜,17.27
82,香菜,52.67
82,萝卜,21.465
82,土豆,4.4
82,西红柿,19.2
82,汤圆,32.9
82,鸭舌,142.8
82,羊肉片,160.2
83,车厘子,72
83,猪肋排,47.25
83,皮皮虾,85.33
83,鸡爪,129.9
83,鸭掌,35.6
83,冷鲜肉,56
83,西兰花,32.67
83,白菜,12.25
83,香菜,52.67
83,萝卜,23.85
83,苦瓜,15.52
83,鸡柳,34.26
83,汤圆,29.61
83,羊肉片,178
84,水蜜桃,39.6
84,车厘子,80
84,猪肋排,52.5
84,牛排,71.397
84,鳕鱼,385
84,牛里脊,155
84,鸭掌,32.04
84,冷鲜肉,50.4
84,西兰花,32.67
84,菠菜,15.543
84,芦笋,54.9
84,西红柿,19.2
84,苦瓜,15.52
84,松花蛋,35.83
84,鸭舌,142.8
84,鸡胸肉,29.8
84,羊肉片,178
85,水蜜桃,44
85,鸡翅,59.9
85,鸡爪,129.9
85,鸭掌,35.6
85,冷鲜肉,56
85,菠菜,15.543
85,白菜,12.25
85,松花蛋,39.413
85,鸡柳,30.834
85,汤圆,32.9
86,草莓,70.4
86,车厘子,88
86,鸡翅,53.91
86,猪肋排,52.5
86,牛排,87.263
86,鳕鱼,350
86,带鱼,27.68
86,巴沙鱼,30.8
86,皮皮虾,85.33
86,鸭掌,35.6
86,冷鲜肉,56
86,白菜,13.475
86,香菜,57.937
86,土豆,4.84
86,芦笋,54.9
86,西红柿,19.2
86,苦瓜,15.52
86,松花蛋,35.83
86,鸡柳,34.26
86,鸭舌,142.8
86,鸡胸肉,29.8
86,羊肉片,178
87,水蜜桃,44
